[0]	"Russian"
[94]	"Error, Item [%d/%s] ground type effect [%d] not found"
[95]	"Error, Cannot create ground item:%d/%s"
[96]	"Checking forging index list..."
[97]	"Forging list number [%d/%s] effect [%d] not available"
[98]	"Проверка списка ковки..."
[99]	"Error, Forging list [%d/%s] effect [%d] not available"
[100]	" Проверка соответствия доспехов и персонажа, при несовпадении возникает ошибка..."
[101]	"Add ID As: %d Scene object will occur error , do you want to delete .obj files "
[102]	"Режим функциональных клавиш"
[103]	"Leave function mode "
[104]	"Изменение настроек экрана. Ширина = %d, высота = %d, оконный режим = %d\n"
[105]	"Successful Toggle Screen!\n"
[106]	"Вход в режим слежения камерой"
[107]	"Отменить режим слежения камеры"
[108]	"Показать скрытый маршрут игрока"
[109]	"Показать скрытые подсказки"
[110]	"Недостаточно участников"
[111]	"Unable to find monster document"
[112]	"Добавить чудовище"
[113]	"Monster release error, Character ID = %d\n"
[114]	"Удачно заполучить чудовище"
[115]	"Monster file saved successfully!"
[116]	"Намеченное действие выполнено!"
[117]	"%d,%s, эффект [%d] не существует\n"
[118]	"Настаивает"
[119]	"%d,%s, effect [%d] as Persists effect \n"
[124]	"Невозможно подключиться"
[125]	"Effect: %d Character: %d объект: %d"
[126]	"msg character [%s] cannot do forging ID:%d"
[127]	"msgForging effect doesn't exist ID:%d"
[128]	"Проверка ковки"
[129]	"save [%s], line number [%d]"
[130]	"Автоматическая проверка"
[131]	"Start testing end"
[132]	"Start testing effect [%d-%d], test count: %d"
[133]	"Start to test skill effect [%d-%d], test count: %d"
[134]	"Вы отключены"
[135]	"Истекло время ожидания подключения: 0x%X"
[136]	"Вы отключаетесь от сервера. Подтвердите возврат к экрану подключения\nПричина: %s[%d]"
[137]	"Пожалуйста, примите к сведению, что вы уже подключились в другом месте!"
[138]	"Вы отключены от сервера. Подтвердите возврат к экрану подключения."
[139]	"Вы отключены от сервера, пожалуйста, попробуйте снова\n Причина:[%d]"
[140]	"Предупреждение: вы используете нелегальную программу\n ваше имя внесено в серверный журнал, просьба больше не использовать эту программу"
[141]	"Предсказание пути выключено"
[142]	"Предсказание пути включено"
[143]	"Пиратский ангел"
[144]	" Рост мастерства: %d"
[145]	"Опыта получено: %d"
[146]	"Уровень %d"
[147]	"msgShowHitEffect, Unable to allocate effect space!\n"
[148]	"DelState() false, SynchroNum[%d], Head[%d], Tail[%d], ID[%d] not same\n"
[149]	"[%s] невозможно колдовать"
[150]	"Недостаточно МН для использования навыка [%s]"
[151]	"Невозможно использовать обычную атаку"
[152]	"Невозможно применить умение"
[153]	"Недостаточно МН, чтобы использовать навык [%s]"
[154]	"[%s] можно применить только на самого себя"
[155]	"Навык [%s] можно использовать только для ловли рыбы"
[156]	"[%s] можно применять только для подъема затонувших кораблей"
[157]	"[%s] можно использовать только для рубки деревьев"
[158]	"[%s] можно использовать только в шахтах"
[159]	"Заклинание [%s] можно накладывать только на членов отряда"
[160]	"[%s] можно использовать только на мертвых персонажей"
[161]	"[%s] направляется ошибочно"
[162]	"Благоприятный навык [%s] нельзя использовать на противниках"
[163]	"Наносящий вред навык [%s] нельзя применять к самому себе"
[164]	"Наносящий урон навык [%s] нельзя применять к членам отряда"
[165]	"[%s] нельзя использовать на мертвой цели"
[166]	"Вы не в зоне PK. Нельзя применить [%s] на других персонажей"
[167]	"Выбранный персонаж не может починить [%s]"
[168]	"Initialization failed!"
[169]	"Соединение прервано"
[170]	"%s\n Сервер на обслуживании\n Выберите другой сервер"
[171]	"%s\nСервер работает в штатном режиме"
[172]	"%s\nThe server is busy"
[173]	"%s\n Сервер перегружен\n Пожалуйста, подсоединитесь к другому серверу"
[174]	"Пустое имя пользователя"
[175]	"Пароль должен содержать не меньше 4 букв"
[176]	""
[177]	""
[178]	"1347478618657394728"
[179]	"Select %d Region, server %d Серверная группа\n"
[180]	"msg%d Region %d Group, Empty Server IP, Невозможно подключиться\n"
[181]	"Версия игры указана неверно. Пожалуйста, повторите ещё раз!"
[182]	"запустить игровую платформу!"
[183]	"msglua enlarge function[%s] participating number or type error!"
[184]	"msglua expand function[%s]current  Sceneas null"
[185]	"Ошибка"
[186]	"Неизвестная ошибка"
[187]	"Please install DirectX9 or higher, Запустите игру позже!"
[188]	"msg мини-карта [%s] успешно загружена!"
[189]	"msg mini-map [%s] pack failed!"
[190]	"msg program as game program, Unable to run directly, Пожалуйста, запустите игру как полагается!"
[191]	"msg Game failed to initialize (GameApp), Выход!"
[192]	"Вход"
[193]	"build 2 type form file ok!"
[194]	"Неизвестная карта"
[195]	"Получить [%d] предмет"
[196]	"Использовать землю в качестве цели можно лишь для соответствующих навыков"
[197]	"Обычное плавание"
[198]	"Вход в режим редактирования"
[199]	"Close editor format"
[200]	"FPS %d-%d   Romance time %d  FrameMove time %d  Internet delay : %d  Peak Value %d  Lowest %d"
[201]	"character quantity  %d   number of surface %d    Romance time %d   total effect count %d"
[202]	"Effective scene count %d  Showtime count %d  number of surface %d   Romance time %d  Culling count %d"
[203]	"Surface showtime  %d  seawater %d  Total %d  UI showtime %d Scene whole showtime %d"
[204]	"Total memory space %d   Current set %d %d %d   Peak Value %d"
[205]	"Оживить: %d"
[206]	"Всего : %d"
[207]	"Отменить спрятанный предмет!"
[208]	"Open object obstruct display"
[209]	"Close document obstruction display"
[210]	"Lock selected object"
[211]	"Отменить привязку"
[212]	"Автоматически отображать параметры окружающих"
[213]	"Create high error"
[214]	"Hidden state select object [%s]"
[215]	"Open moving object display"
[216]	"Закрыть вывод перемещения"
[217]	"Unable to create effect."
[218]	"[%s] был исключен лидером"
[219]	"Создан отряд. Лидер [%s]"
[220]	"Отряд распущен"
[221]	"[%s] добавлен в отряд"
[222]	"Персонаж [%s] уже покинул отряд"
[223]	"принято приглашение от отряда: %s,%d\n"
[224]	"Получен отказ от отряда: %d, причина: %d\n"
[225]	"Список приглашений заполнен, предыдущее приглашение будет отменено"
[226]	"Превышен лимит времени"
[227]	"Игрок отключился"
[228]	"Отряд укомплектован"
[229]	"пригласили в другой отряд, текущее приглашение отменено"
[230]	"Получен запрос на включение в список друзей: %s, %d\n"
[231]	"Запрос на включение в список друзей отклонен: %d, причина:%d\n"
[232]	"Список приглашений заполнен"
[233]	"Невозможно добавить, список полон"
[234]	"Список друзей полон"
[235]	"Отряд отклонил ваш запрос"
[236]	" %d в игре, причина:%d\n"
[237]	"Игрок: %s Онлайн"
[238]	"Друг вышел из игры: %d. Причина:%d\n"
[239]	"Игрок: %s Не в сети"
[240]	"Удалить из списка друзей: %d, причина:%d\n"
[241]	"В друзья: %s,%d\n"
[242]	"Получен список друзей (%d):%s,%d\n"
[243]	"Refresh friend list notice :char_id=%d, motto=%s, icon=%d, degree=%d, job=%s\n"
[244]	"msgNetMC_GUILD_INFO no scene\n"
[245]	"msgNetMC_GUILD_INFO No Character\n"
[246]	"msgNetMC_GUILD_INFO character not found [%u]\n"
[247]	"msg[%u],  cannot locate ID:%s\n"
[248]	"    Имя: %s, Класс: %s, Ур: %d, Вид: %d, %d,%d,%d,%d,%d\n"
[249]	"msgNetLoginSuccess , no login scene\n"
[250]	"msgNetLoginFailure, No Login Scene\n"
[251]	"Вы исчерпали число попыток, игра будет принудительно закрыта"
[252]	"Действие вашей учетной записи приостановлено"
[253]	"Неверное имя пользователя"
[254]	"msgNetBeginPlay no login scene\n"
[255]	"Login scene"
[256]	"msgNetNewCha, No Login Scene\n"
[257]	"msgNetDelCha , no Login scene\n"
[258]	"msgNetActorMove error occur, lead need to have move status\n"
[259]	"msgNetActorMove create an error, cannot locate player [%u], point [%u], first coordinate [%d,%d]\n"
[260]	"msgNetActorMove AddState return false,state:%d, Logname :[%s], point[%u], status[%u], next point:[%d,%d]\tTick:[%u]\n"
[261]	"msg lost server system message, Log name: [%s], point [%u], status [%u], next point: [%d,%d]\tTick:[%u]\n"
[262]	"msg server is adnormal, Log name: [%s], point [%u], status [%u], next point: [%d,%d]\tTick:[%u]\n"
[263]	"msg Switching character, unable to create\n"
[264]	"msgCharacter name already exists in this server[%s],WoldID[%u],OldLogName[%s]\n"
[265]	"msg Character is hidden in server, unable to create\n"
[266]	"NetSynSkillState ID [%u] не найден\n"
[267]	"msgNetActorSkillRep create error, skill display[%u], cannot locate player [%u]\n"
[268]	"msgNetActorSkillRep error created, Character must be in combat\n"
[269]	"msgNetActorSkillEff Error, add skill damage, skill ID[%u]illegal \n"
[270]	"msgNetActorLean, ID:%d cannot be found\n"
[271]	"Идет сохранение персонажа, пожалуйста, подождите"
[272]	"Illegal Player talk, ID:[%d],Name:[%s],LogName:[%s],say:%s\n"
[273]	"msg Server need to create a repeated item: WorldID [%u], OldName[%s]\n"
[274]	"msg failed to create item, Item ID = %d\n"
[275]	"===Recieve(change energy :Link,Energy)\n"
[276]	"===Recieve(revive panel),ID[%u]\tTick:[%u]\n\n"
[277]	"Эта местность не имеет полной карты!"
[278]	"===Recieve(Change Character):\tTick:%u\n"
[279]	"msgNetSynAttr, ID (%u) not found\n"
[280]	"msg when adding items, required slot [%d], already exceed available slots [%d]\n"
[281]	"msgWhen adding item [%d], items doesn't exist. \n"
[282]	"msgWhen adding item [%s], the limited was exceeded [%d]\n"
[283]	"Получено [%s x %d]!"
[284]	"Системой добавлено [%s x %d]!"
[285]	"Сделка состоялась [%s x %d]!"
[286]	"Ковка прошла удачно [%s x %d]!"
[287]	"Ковка не удалась[%s x %d]!"
[288]	"msg failed to delete object, exceeded form [%d] item is not in nearby or surrounding slots\n"
[289]	"Получено [%s] %d / %d!"
[290]	"Unknown trigger: param1 = %d, param2 = %d, param3 = %d"
[291]	"msgNetFailedAction no character \n"
[292]	"===Recieve(Character default skill):\tTick:[%u]\n"
[293]	"msg fail to use default skill %d, no such skill\n"
[294]	"Положение цели: %s\n"
[295]	"Текущая карта"
[296]	"Ground status synchronize, area position [%d, %d]\tStatus Count%d\n"
[297]	"Реакция чудовища:%d\n"
[298]	"hit back, new position: [%d,%d].\n"
[299]	"Отряд"
[300]	"Synchronize party ID : Leader %d, Self %d.\n"
[301]	"Принять торговлю Тип = %d , Индекс = %d , Кол-во = %d , ПредметID = %d , Деньги = %d\n"
[302]	"Завершить торговлю\n"
[303]	"Server send uknown item trade type!"
[304]	"Unknown quest log type!"
[305]	"Извещение о вызове"
[306]	"В первом отряде %d участников. Во втором отряде %d участников.\n"
[307]	"\tname name: %s.level : %d. Class: %s.\n"
[308]	"Character Name: %s, ID: %u, LocationЈЫ%s, %d, %d, ЈЭ"
[309]	"Название карты: %s, PING: %u"
[310]	"\t ID\t Status\t Level\tSP Consume\t Discharge cooldown (ms)\t  skill message\n"
[311]	"\t Status ID \t level \n"
[312]	"\t Attribute ID\t Attribute point\n"
[313]	"\t Inventory slot: %d\t Inventory ID: %d\n"
[314]	"\t Item qty: %d\t durability: %d\\%d\t energy: %d\\%d\n"
[315]	"Item ID in inventory is invalid  [%d], Выход из игры!"
[316]	"\t forging number: %d\n"
[317]	"\tAttribute ID: %d\tAttribute Points: %d\n"
[318]	"Inventory error"
[319]	"Число использований инструмента %d, предел превышен\n"
[320]	"\tSlots: %d\n"
[321]	"\t type: %d\t Inventory slot: %d\n"
[322]	"\tGridID: %d, %d\n"
[323]	"\tGridID: %d\n"
[324]	"\tType:%d, GridID: %d\n"
[325]	"Распределите очки характеристик заново "
[326]	"Attribute %d, Increment %d.\n"
[327]	"Повышение уровня навыка"
[328]	"Skill ID: %d, Raised %d level(s)\n"
[329]	"Open object pov decrease"
[330]	"Close item reduce"
[331]	"Show debugging messages"
[332]	"close debug notice notice"
[333]	"сброс камеры"
[334]	"Display object Terrain"
[335]	"Close Terrain display"
[336]	"Показывать все подсказки"
[337]	"Убрать все подсказки"
[338]	"Display hidden shortcut"
[339]	"Невозможно открыть для записи и чтения!"
[340]	"Версии не совпадают!"
[341]	"msg unable to create new ship, Невозможно создать персонажа!\n"
[342]	"msg Unable to create character, Невозможно создать персонажа!\n"
[343]	"msg invalid scene object ScriptID = %d, Невозможно добавить новые вещи!\n"
[344]	"Serious warning, Item in current scene reach max [%d]!"
[345]	"Serious warning, Число предметов на экране достигло [%d]!"
[346]	"msg item on screen already reach limit [%d], Добавление новых предметов невозможно!"
[347]	"effectquantity reach limit, Невозможно добавить новый эффект!"
[348]	"msg limit has been reached, Добавление новых предметов невозможно!"
[349]	"msg invalid SceneItem Type ID = %d, Unable to create!\n"
[350]	"msg create SceneItem %d[%s] Не удалось прочитать документ [%s]\n"
[351]	"Unknown object"
[352]	"msg repeatedly add object type index, object type = %d, ArrayID = %d\n"
[353]	"msg delete non existing document from index, object type = %d, ArrayID = %d\n"
[354]	"msg create object type ID invalid : ScriptID = %d\n"
[355]	"Создать документ"
[356]	"ошибка!"
[357]	"- предмет сломан!"
[358]	"Не существует!"
[359]	"Невозможно открыть вложение!"
[360]	"%s Going to switch to new version, Требуется секунд"
[361]	"оповещение"
[362]	"%s осуществлен удачный переход на новую версию, файл сохранен как %s"
[363]	"Успех"
[364]	"msgWrong item document ID\n"
[365]	"Документ поврежден! "
[366]	"Started to arrange directory %s Down .obj Document, Сделать резервную копию текущего файла"
[367]	"Started to arrange directory %s Down .obj Document, Распространение исходных файлов запрещено!"
[368]	"*.obj Tidy up log files %s\n"
[369]	"успешно завершено! \n"
[370]	"не удается создать временный файл \n"
[371]	"Не удается переименовать документ\n"
[372]	"не удается открыть файл \n"
[373]	"Исходный файл изменен!\n"
[374]	"ошибка сохранения\n"
[375]	"Неизвестная ошибка"
[376]	"msg game sound error, Invalid Sound ID = [%d]\n"
[377]	"msg Create sight of attack error"
[378]	"msg Fail to create attacking circle"
[379]	"msg create error"
[380]	"transferfunction[%s,%s] floating point is incorrect!"
[381]	"GetStoneHint,transferfunction[%s,%d] , floating point incorrect!"
[382]	"not functionname "
[383]	"msgtransfer script type does not match!"
[384]	"Хотите удалить персонажа"
[385]	"Newbie"
[386]	"Server group [%s], Код продукта [%s]\n"
[387]	"error, The number of servers inside this region is %d, invalid group number = %d\n"
[388]	"msg Server GateIP as 0, Невозможно выделить ворота!\n"
[389]	"Select random server [%s] Gate[%d], ip = %s, group got  %d IP to choose\n"
[390]	"Пожалуйста, введите название корабля"
[391]	"Ship must be %d ~ %d Промежуточные слова"
[392]	"Ведется торговля... Пожалуйста, завершите торговлю перед открытием."
[393]	"Выберите один из кораблей в списке:"
[394]	"Центр: %u, %u\n Исследовано: %.02f%%"
[395]	"msg icon error%s"
[396]	"Восточная выработка"
[397]	"Одинокая башня"
[398]	"List does not have skill attribute settings during attack"
[399]	"msg Character [%s] unable to use skill [%s], while in current Pose[%d]\n"
[400]	"msg skill level [%d] has reach the max of this class skill level [%d]!\n"
[401]	"msg Скорость атаки равна 0 во время нападения\n"
[402]	"Статус завершен\n"
[403]	"Start status, count: %d, Speed: %f Действие:"
[404]	"Последнее значение: %d/%d/%d Итого: %d/%.2f/%d FPS:%d/%.2f/%d\n"
[405]	"Последнее значение: %d/%d/%d Итого: %d/%.2f/%d"
[406]	"Вы не можете двигаться"
[407]	"Расстояние слишком велико: %d"
[408]	"Moving time:%u, Area [%u, %u], Расстояние: %02f\n"
[409]	"msg status [%s], CActionState::SetServerID(%d) is error\n"
[410]	"No fixed UI frmRemind!"
[411]	"chat.clu UI<%s>unable to control<%s>"
[412]	"No fixed UI frmChat!"
[413]	"No fixed UI frmChatMd!"
[414]	"No fixed UI frmChatMin!"
[415]	"с "
[416]	"Диалог"
[417]	"Currently with %d Диалог персонажей"
[418]	"Текущий чат (%d участников): "
[419]	"(%d участников)"
[420]	"Приглашает вас в отряд!"
[421]	"0"
[422]	"-"
[423]	"1"
[424]	"2"
[425]	"3"
[426]	"4"
[427]	"5"
[428]	"6"
[429]	"7"
[430]	"8"
[431]	"9"
[432]	"10"
[433]	"100"
[434]	"1000"
[435]	"десять тысяч"
[436]	"100 миллионов"
[437]	"один-десять"
[438]	"npc.clu does not have fixed UI frmNPCstorage"
[439]	"npc.cluЅзГж<%s>ЙПХТІ»µЅїШјю<%s>"
[440]	"Ежедневное задание"
[441]	"Введите число предметов для хранения"
[442]	"Выберите количество"
[443]	"инициализация корабля, невозможно найти корабль\n"
[444]	"msgCBoatMgr::ChangeMainCha(%d) Cannot create character while switching\n"
[445]	"npc.clu does not have defined interface frmBooth"
[446]	"traderoom.clu UI<%s> cannot be found<%s>"
[447]	"Пожалуйста, введите название торгового лотка"
[448]	"Недопустимое название торгового лотка. Введите название заново "
[449]	"Количество должно быть не меньше 1"
[450]	"Введите цену предмета"
[451]	"Цена не может быть ниже 0"
[452]	"Общее количество не должно превышать 1 миллиарда"
[453]	"Предмет уже куплен другим игроком"
[454]	"Пожалуйста введите количество "
[455]	"Вы действительно покупаете\n— %s\nСтоимостью $%s?"
[456]	"Вы действительно покупаете\n— %s\nСтоимостью %s IMPs?"
[457]	"Трюм вашего корабля полон"
[458]	"Этот предмет продан"
[459]	"У вас недостаточно золота"
[460]	"Желаете купить: \n\n[%s]?"
[461]	"Желаете назначить цену [%s] \n\nдля продажи предмета [%s]?"
[462]	"Превышено максимальное количество предметов\n"
[463]	"Вы не можете совершить покупку из-за недостаточного уровня торгового разрешения или его отсутствия"
[464]	"msgui.clu does not have defined interface %s\n"
[465]	"Чат"
[466]	"Друзья"
[467]	"Отряд"
[468]	"Гильд"
[469]	"Прохожий"
[470]	"No defined interface _frmAddFriend!"
[471]	"No fixed UI frmEdit!"
[472]	"No fixed UI frmdetails!"
[473]	"main.clu UI<%s> cannot be control<%s>"
[474]	"Выбранный персонаж [%s] находится вне области"
[475]	"Убрать"
[476]	"Выбранный игрок [%s] не на борту"
[477]	"Детали"
[478]	"Сообщение"
[479]	"Из друзей"
[480]	"Подтвердите удаление из списка друзей: \n\n"
[481]	"ЛС"
[482]	"В друзья"
[483]	"Из отряда"
[484]	"В отряд"
[485]	"Выход"
[486]	"Показать имя"
[487]	"Показать притчу"
[488]	"Персонаж добавлен"
[489]	"Хорошо"
[490]	"msgJerry Ли: Зачем вам нужно столько окон с сообщениями, пожалуйста, проверьте список имен [%s], номер списка :[%d]!\n"
[491]	"msgJerry LI say why do you open so many chat window, list name [%s], list number:[%d]!\n"
[492]	"Ярлык: F%d"
[493]	"Все"
[494]	"Местн"
[495]	"ЛС"
[496]	"Мир"
[497]	"Торг"
[498]	"Система"
[499]	"Оповещение"
[500]	"Открыть канал сообщений"
[501]	" notice accept close tunnel"
[502]	"(None)"
[503]	"Открыть окно для вывода системных сообщений"
[504]	"system notice accept close window"
[505]	"["
[506]	"] закрыл канал ЛС и временно не может получать ваши сообщения "
[507]	"[Система]"
[508]	"Просьба не перегружать чат!"
[509]	"Игроки ниже 10 уровня не могут пользоваться общим чатом"
[510]	"В целях борьбы со спамом отправка сообщений в общем канале разрешена только через 1 минуту!"
[511]	"Персонажи ниже 10 уровня не могут использовать Торговый канал!"
[512]	"Защита канала сообщений: игрок не может использовать канал Торговля в течение 1 минуты после подключения."
[513]	"Сообщение не передано. Вы не состоите в отряде."
[514]	"ошибка отправки сообщения : неверный канал!"
[515]	"Удалить все"
[516]	"coze.clu interface<%s> cannot locate control <%s>"
[517]	"Отправка не удалась. Вы не состоите в отряде."
[518]	"Просьба не перегружать общий чат!"
[519]	"Отряд"
[520]	"[Все]"
[521]	"[Отряд]"
[522]	"[Гильдия]"
[523]	"[Торговля]"
[524]	"[Мир]"
[525]	"[ЛС]"
[526]	"[Система]"
[527]	"msgui.clu does not have Fixed UI ID frmEditor"
[528]	"Персонаж"
[529]	"Эффект"
[530]	"Характеристика территории"
[531]	"ИН Острова"
[532]	"Список карт"
[533]	"Действие персонажа"
[534]	"Состояние мыши"
[535]	"Эффект персонажа"
[536]	"Появление"
[537]	"Смерть"
[538]	"Описание персонажа"
[539]	"поверхность"
[540]	"Строительство"
[541]	"Осуществляется ход, подождите…"
[542]	"Введите координаты X и Y: [число, число]"
[543]	"Пожалуйста, введите 4 параметра, например: 0,0,10,10"
[544]	"Снимок мини-карты: %d, %d, %d, %d"
[545]	"Пожалуйста, введите значение высоты"
[546]	"Brush height already changed"
[547]	"msgNetSynSkillBag lead ID error, lead not available"
[548]	"msgNetSynSkillBagskill ID [%d] error"
[549]	"msgNetSynSkillBagAdd skill ID[%d] error"
[550]	"msgNetSynSkillBag failed to edit skill ID[%d]"
[551]	"msgNetSynSkillBag Delete Skill ID [%d] Error. Skill does not exist"
[552]	"msgNetSynSkillBag Type[%d] Error"
[553]	"[%s] cannot be placed on shortcuts"
[554]	"msgupdate appearance data [%d] ,server ID[%d], error occur"
[555]	"msg Update item UI [%d], Item not available"
[556]	"Предмет исчезнет, если вы его удалите\nХотите удалить предмет?"
[557]	"Управлять можно только теми кораблями, которые находятся в море!"
[558]	"Вы хотите избавиться Купчей на судно?\nЭто снизит уровень \n и опыт корабля"
[559]	"Ремонт: %s\nОплата: %dзол.\nПодтвердить?"
[560]	"npc.clu does not have defined interface frmNPCforge"
[561]	"npc.clu interface<%s> cannot locate control <%s>"
[562]	"Плавка снаряжения"
[563]	"Стабилизатор снаряжения"
[564]	"Катализатор снаряжения"
[565]	"Очистить предмет"
[566]	"Характеристика Самоцвета"
[567]	"Очищающий самоцвет"
[568]	"Нужно потратить: %d золота\nВы уверены?"
[569]	"Вы не вставили оружие или доспех. Повторите попытку"
[570]	"Выбранный предмет не является кристаллизатором, попробуйте еще раз"
[571]	"Вы не поместили самоцвет. Пожалуйста, выберите заново"
[572]	"Вы не вставили Катализатор. Повторите попытку"
[573]	"Вы не поместили Очищающий самоцвет. Повторите попытку"
[574]	"msg UI name [%s] repeated\n"
[575]	"Window ID       Window name                 Coordinates           Display  Allow  Menu   Lv   Control count  Hotkey   Романтический час"
[576]	"Board Stats (Total: %d Count: %d current board ID:%d)  Stats Window (Count: %d Current board: [2Window number: %d Display: %d Mode: %d]) Timer count :%d Романтическое время: %d мс"
[577]	"Document :<%s> no Form table: %s"
[578]	"Document :<%s>  no <%s> control:%s"
[579]	"HQ Allocation"
[580]	"Пароли не совпадают! Введите пароль еще раз"
[581]	"Пожалуйста, введите пароль"
[582]	"Пожалуйста, введите название гильдии"
[583]	"Хотите потратить [%s]?"
[584]	"Подача заявок окончена"
[585]	"Вы защищаете свой титул. Нельзя подать заявку"
[586]	"Невозможно вызвать себя на дуэль"
[587]	"Вы не можете вызвать того, кто отстаивает титул менее выс. ур.."
[588]	"Вы уже бросили вызов"
[589]	"Сделайте заявку. Минимум:"
[590]	"Вы предлагаете слишком мало денег"
[591]	"Каждая заявка - 50000"
[592]	"Общее количество не может превышать 20 миллионов"
[593]	"хотите заменить поданную заявку в гильдию:\n\n"
[594]	"Только глава гильдии может изменять девиз"
[595]	"Вы хотите расформировать свою \nгильдию? Просьба ввести пароль "
[596]	"Вы хотите покинуть гильдию?"
[597]	"Выберите игрока, подавшего заявку"
[598]	"Вы не можете набирать новых участников. Обращайтесь к главе гильдии"
[599]	"Извините, у вас нет права доступа. Свяжитесь с главой вашей гильдии"
[600]	"Выберите персонажа, исключаемого из гильдии"
[601]	"Хотите удалить \n\n ["
